class,TP,FP,Support,target,accuracy
brfowl1,1,0,2,25,0.50
blaeag1,1,0,1,16,1.00
jerbus2,2,0,2,94,1.00
rossta2,9,0,13,144,0.69
kerlau2,1,0,2,99,0.50
laudov1,8,0,11,101,0.73
marsan,5,0,8,115,0.62
spepic1,1,0,4,154,0.25
indrol2,1,0,3,86,0.33
aspfly1,1,0,3,6,0.33
brcful1,5,0,8,24,0.62
ingori1,2,0,4,88,0.50
sqtbul1,0,0,4,157,0.00
